"","Protein.Group","Protein.ID","Accession","X.10lgP","Coverage....","Coverage.....Sample.1","Coverage.....Sample.2","Coverage.....Sample.3","Coverage.....Sample.4","Coverage.....Sample.5","Coverage.....Sample.6","Coverage.....Sample.7","Coverage.....Sample.8","Coverage.....Sample.9","Coverage.....Sample.10","Coverage.....Sample.11","Coverage.....Sample.12","Coverage.....Sample.13","Coverage.....Sample.14","Coverage.....Sample.15","Coverage.....Sample.16","Coverage.....Sample.17","Coverage.....Sample.18","Coverage.....Sample.19","Coverage.....Sample.20","Coverage.....Sample.21","Coverage.....Sample.22","Coverage.....Sample.23","Coverage.....Sample.24","Coverage.....Sample.25","Coverage.....Sample.26","Coverage.....Sample.27","Coverage.....Sample.28","Coverage.....Sample.29","Coverage.....Sample.30","Coverage.....Sample.31","Coverage.....Sample.32","Coverage.....Sample.33","BT_1","BT_2","BT_3","BT_4","BT_5","BT_6","BT_7","BT_8","BT_9","BT_10","BT_11","BT_12","BT_13","BT_14","CJK_1","CJK_2","CJK_3","CJK_4","CJK_5","CJK_6","CJK_7","CJK_8","CJK_9","CJK_10","CJK_11","CJK_12","CJK_13","CJK_14","CJK_16","CJK_17","CJK_18","CJK_19","CJK_20","X.Peptides","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","X.Spec.Sample.6","X.Spec.Sample.7","X.Spec.Sample.8","X.Spec.Sample.9","X.Spec.Sample.10","X.Spec.Sample.11","X.Spec.Sample.12","X.Spec.Sample.13","X.Spec.Sample.14","X.Spec.Sample.15","X.Spec.Sample.16","X.Spec.Sample.17","X.Spec.Sample.18","X.Spec.Sample.19","X.Spec.Sample.20","X.Spec.Sample.21","X.Spec.Sample.22","X.Spec.Sample.23","X.Spec.Sample.24","X.Spec.Sample.25","X.Spec.Sample.26","X.Spec.Sample.27","X.Spec.Sample.28","X.Spec.Sample.29","X.Spec.Sample.30","X.Spec.Sample.31","X.Spec.Sample.32","X.Spec.Sample.33","PTM","Avg..Mass","Description...",Gene_id
"1",10,181,"Q09666|AHNK_HUMAN",585.27,73,56,52,56,50,55,56,56,54,52,48,52,50,58,53,43,24,49,41,48,36,51,36,49,43,51,37,36,40,32,42,42,32,45,3208900000,2374900000,2880800000,1909900000,3236700000,3255400000,3441100000,2.948e+09,2548700000,1770600000,2411100000,2.038e+09,3105200000,2409800000,2296400000,201810000,5520600000,1276900000,3526700000,1.872e+09,5389500000,1.107e+09,5.859e+09,3463400000,7258500000,1182700000,2700500000,2351600000,1754100000,1.479e+09,1692100000,595420000,1666300000,475,475,628,506,478,405,590,506,572,538,488,399,432,459,606,522,333,161,455,301,444,297,503,329,489,418,516,272,370,266,226,330,302,231,334,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",629114,"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2",AHNAK
"2",13,45,"Q15149|PLEC_HUMAN",581.85,81,56,60,51,54,56,59,42,48,51,55,51,57,51,55,40,37,39,42,39,43,38,36,47,45,47,45,37,44,37,50,46,32,44,1943300000,2154300000,1846100000,2267400000,1739200000,3055300000,793750000,1187500000,1.402e+09,1922900000,1803500000,2018600000,1165800000,1869100000,1098600000,260490000,1539300000,831110000,1355200000,1775800000,1518800000,648160000,3561400000,2864700000,3362500000,1242900000,1354800000,1511200000,984310000,1251900000,1832600000,292760000,1066500000,501,489,509,584,418,502,456,609,281,364,399,503,425,563,373,498,250,210,269,276,283,342,293,258,429,422,384,318,292,288,234,345,345,171,296,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",531796,"Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3",PLEC
"3",4,49,"P35579|MYH9_HUMAN",567.56,81,59,60,65,64,64,64,64,62,63,63,62,61,63,63,56,48,56,55,57,51,57,57,59,56,60,49,54,57,56,56,55,54,59,4878900000,3330900000,1.0736e+10,6690100000,5485700000,4331500000,6710200000,5387200000,5847800000,5327800000,6895400000,3.779e+09,5840500000,5.312e+09,4444200000,767110000,7021600000,1986500000,4867800000,3289200000,7690900000,1779800000,1.0729e+10,7076500000,1.1502e+10,909280000,4644600000,5.552e+09,5250200000,4220100000,5980200000,1907800000,4852900000,261,225,545,468,748,607,564,496,599,565,583,559,605,493,612,571,368,258,458,320,467,337,505,478,589,554,603,206,504,396,457,479,482,366,488,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",226530,"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4",MYH9
"4",6,64,"P21333|FLNA_HUMAN",566.62,83,55,49,63,60,58,59,59,58,58,55,56,52,59,58,49,46,52,51,48,53,51,52,57,58,55,50,51,59,61,55,53,47,62,3334200000,2846200000,5687800000,6.196e+09,4257700000,4771100000,3792500000,4698200000,3319800000,5489500000,4068500000,3320400000,3754300000,4735100000,6418900000,1338400000,1.1726e+10,3.389e+09,8381600000,7348900000,1.1474e+10,4003700000,1.3659e+10,1.4943e+10,1.6243e+10,5350900000,5984200000,1.1522e+10,1.5136e+10,4.641e+09,1.1778e+10,2661700000,7224100000,211,198,370,329,447,445,393,402,369,429,349,451,376,356,378,427,377,343,483,397,470,429,474,607,543,621,562,409,400,521,694,393,595,358,469,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",280737,"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",FLNA
"5",12,109,"P35580|MYH10_HUMAN",561.35,80,57,53,62,60,60,56,57,62,58,61,54,59,58,62,54,49,57,50,59,48,56,49,60,54,58,42,52,55,57,56,51,53,59,2329900000,1.185e+09,4318300000,3231700000,2724200000,1.637e+09,3258100000,3.862e+09,3442200000,3314800000,2670100000,2527500000,2741200000,2451800000,1737500000,342550000,4572500000,668480000,4752800000,1279200000,7.085e+09,1080600000,7158100000,3730300000,7.526e+09,230530000,2489700000,2314300000,2947200000,1776400000,1.646e+09,941800000,2054100000,250,209,383,276,496,430,423,320,420,493,457,459,389,421,424,419,255,200,350,202,426,225,467,294,486,355,422,118,325,283,299,309,257,245,319,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",228997,"Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3",MYH10
"6",26,100,"Q14204|DYHC1_HUMAN",542.92,73,39,26,40,36,37,37,38,39,38,36,37,35,40,38,33,25,43,30,33,32,36,20,39,35,37,29,32,35,32,37,36,30,34,544400000,254110000,883060000,505250000,527220000,467710000,716170000,514400000,560290000,390410000,724970000,334890000,615510000,424040000,873530000,151260000,1666600000,403560000,1012800000,987860000,1119100000,197770000,1482700000,1171300000,1528300000,4.83e+08,813380000,979140000,809940000,727020000,869710000,402110000,524550000,325,325,207,132,230,195,192,181,220,199,201,180,218,166,226,192,210,111,282,165,206,219,248,129,271,221,258,169,194,192,185,231,200,198,189,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",532412,"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5",DYNC1H1
"7",22,74,"Q9Y490|TLN1_HUMAN",539.76,80,55,51,57,52,55,51,53,53,49,55,53,50,48,59,52,46,54,44,54,48,53,40,55,51,52,47,54,50,47,50,46,42,48,1189900000,817080000,2121300000,1269300000,1.229e+09,1420400000,1326800000,1142100000,1227700000,1263600000,1349200000,854820000,883870000,1025300000,3173900000,479680000,2982400000,873660000,2358600000,1614200000,2318800000,449500000,2384800000,2200500000,3163500000,1189700000,1415700000,1990400000,1518200000,1068800000,1231500000,727210000,829480000,176,163,234,196,283,218,233,218,223,218,221,236,222,197,194,224,229,145,230,178,243,172,252,168,252,234,250,182,196,204,208,184,186,155,162,"Carboxymethyl; Deamidation (NQ); Oxidation (M)",269765,"Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3;",TLN1
"8",39,36,"Q13813|SPTN1_HUMAN",519.81,81,46,36,48,45,40,46,47,44,47,39,43,42,50,39,41,32,49,40,36,40,45,33,53,54,45,46,40,51,42,52,47,39,48,659930000,317780000,7.36e+08,553710000,579590000,642330000,797570000,697850000,617800000,449710000,531920000,405700000,670630000,364320000,568420000,114550000,1402100000,355340000,714210000,699390000,1006700000,235790000,1647100000,1300400000,1628800000,416430000,649380000,846930000,606190000,561470000,787440000,321790000,594330000,240,240,174,112,174,154,154,165,179,174,165,132,147,129,189,117,141,98,216,122,149,148,179,99,215,219,185,145,148,163,132,162,171,128,153,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",284538,"Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1
"9",41,42,"Q01082|SPTB2_HUMAN",516.12,85,55,46,51,54,52,52,50,58,55,48,49,44,56,47,41,26,52,39,45,41,48,34,54,50,47,43,41,47,39,46,50,38,47,532150000,469470000,601990000,535330000,510290000,496140000,583520000,581940000,471820000,515320000,435930000,371770000,564730000,356650000,470250000,94764000,1099100000,309090000,622660000,514330000,970200000,295880000,1998400000,1345800000,1707400000,323900000,757290000,931580000,461930000,554310000,565920000,231890000,693770000,224,221,187,183,168,175,186,176,170,187,184,175,148,161,199,152,116,70,185,109,145,121,162,106,204,193,158,115,117,130,115,152,138,100,149,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",274608,"Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1
"10",35,43,"Q00610|CLH1_HUMAN",498.09,83,49,35,51,42,50,51,44,49,47,47,45,41,47,46,41,49,54,50,41,46,43,41,56,56,41,45,55,53,47,57,57,55,53,497150000,308510000,752690000,501330000,516620000,671930000,665020000,553630000,535170000,429660000,573710000,381250000,466800000,443510000,800480000,237020000,1425200000,505650000,644230000,1.081e+09,907520000,315420000,1512800000,1362600000,1.363e+09,535430000,723240000,1117300000,936670000,672670000,1083100000,408490000,700800000,131,112,137,99,160,127,146,155,155,142,142,130,145,121,153,137,117,107,180,136,135,163,144,172,194,201,159,131,163,158,127,168,175,149,154,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",191613,"Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5",CLTC
"11",2,1,"P08670|VIME_HUMAN",497.61,93,84,89,77,86,86,88,86,86,81,84,80,86,82,83,81,71,80,83,81,80,82,86,82,78,81,75,78,77,81,78,80,76,82,1.9877e+10,2.8076e+10,1.4804e+10,2.0362e+10,1.457e+10,2.928e+10,1.5778e+10,1.5847e+10,1.6233e+10,1.2896e+10,1.6899e+10,1.5365e+10,1.4548e+10,1.3554e+10,1.0292e+10,3791700000,2.3893e+10,1.4112e+10,1.8623e+10,2.1485e+10,2.6674e+10,1.454e+10,3.0536e+10,2.1543e+10,3.5099e+10,1.3366e+10,1.208e+10,2.3502e+10,2.086e+10,8.876e+09,1.6961e+10,5229900000,9981400000,88,81,880,1001,629,769,634,1045,619,682,655,567,617,721,618,619,359,430,595,690,580,627,710,991,736,634,928,547,612,751,682,442,539,382,515,"Carboxymethyl; Deamidation (NQ); Acetylation (Protein N-term); Oxidation (M)",53652,"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",VIM
